Subject Code,Course Number,Course Title
None,None,None
AAA,101,Introduction to Asian/Asian-American Studies
AAA,200,Selected Topics
AAA,300,Selected Topics
AAA,307,Asian Americans and Social Stratification
AAA,380,International Course
AAS,112,Introduction to African American Studies
AAS,138,Writing About Black Culture
AAS,200,Selected Topics
AAS,202,Caribbean Society Since Independence
AAS,206,Introduction to African American Music
AAS,207,A Survey of African Music
AAS,213,Africa: Ancient Times to 1800
AAS,214,Modern Africa: 1800 - Present
AAS,231,African American Literature to 1900: An Introduction
AAS,232,African American Literature: Twentieth and Twenty-First Centuries
AAS,233,The Caribbean Novel
AAS,234,African Fiction
AAS,235,African American Drama
AAS,241,African Religions: An Introduction
AAS,254,Comparative Study of American Ethnic Communities
AAS,290,Independent Study
AAS,300,Selected Topics
AAS,302,Contemporary African American Theater
AAS,303,Black Women Writers
AAS,304,Workshop:African American Theater
AAS,305,African Orature
AAS,306,African American Politics
AAS,307,African Women Writers
AAS,309,"Race, Gender and Sexuality in the African Diaspora"
AAS,310,Elements of Theater Production
AAS,312,Pan Africanism
AAS,327,History of Southern Africa
AAS,331,The African American Novel: Twentieth and Twenty-First Centuries
AAS,332,African American History: Through the 19th Century
AAS,333,African American History: After the 19th Century
AAS,338,Creative Writing Workshop
AAS,341,Politics of Africa
AAS,345,African American Religious History
AAS,346,Comparative Third World Politics
AAS,353,Sociology of the African American Experience
AAS,361,Art of the Black World
AAS,364,African International Relations
AAS,365,International Political Economy of the Third World
AAS,367,Protest Movements and African American Art and Literature
AAS,380,International Course
AAS,390,Independent Study
AAS,400,Selected Topics
AAS,401,Research in African American Studies
AAS,402,Slavery and Abolition
AAS,403,African and Caribbean Women Writers
AAS,408,Masters of American Black Music
AAS,409,African American Jazz and Social Life
AAS,410,Seminar on Social Change
AAS,411,The Music and Life of Prince
AAS,412,"Hurricane Katrina: Race, Class, Gender & Disaster"
AAS,413,There Goes the Neighborhood: US Residential Segregation
AAS,414,African American Popular Culture
AAS,416,"Race, Crime and Punishment"
AAS,417,Human Rights in the Americas
AAS,425,”Revolt of the Black Athlete”: Africana Studies and the History and Culture of Sport
AAS,426,African American Urban History
AAS,427,New York City: Black Women Domestic Workers
AAS,433,Harlem Renaissance:Literature and Ideology
AAS,434,Underground Railroad
AAS,445,"The Caribbean: Sex Workers, Transnational Capital, and Tourism"
AAS,465,The Image of Blacks in Art and Film
AAS,470,Experience Credit
AAS,480,International Course
AAS,490,Independent Study
AAS,499,Honors Capstone Project
AAS,500,Selected Topics
AAS,501,African American Sociological Practice:1900-45
AAS,503,"Black Paris: Studies in Literature, Culture and Intellectual Life"
AAS,510,Studies in African American History
AAS,511,Black Intellectual Thought In Music
AAS,512,African American Women’s History
AAS,513,Toni Morrison: Black Book Seminar
AAS,525,Research Methods in African American Studies
AAS,540,Seminar:African American Studies
AAS,580,International Course
AAS,590,Independent Study
ACC,151,Introduction to Financial Accounting
ACC,201,Essentials of Accounting
ACC,252,Intro to Managerial Acc
ACC,356,Intermediate Financial Accounting I
ACC,357,Intermediate Financial Accounting II
ACC,363,Cost Analysis & Control
ACC,385,Principles of Taxation
ACC,452,Accounting Analytics
ACC,476,Auditing Theory/Practice
ACC,477,Advanced Financial Accounting
ACC,481,Taxation of Business Entities
ACC,485,Financial Statement Analysis and Valuation
ACC,499,Honors Capstone Project
ADV,200,Selected Topics
ADV,201,Best Advertisements in the Universe
ADV,206,Advertising Practice in a Diverse Society
ADV,208,The Big Idea in Advertising
ADV,300,Selected Topics
ADV,307,Conceptual and Creative Thinking in Media Planning
ADV,345,International Advertising
ADV,400,Selected Topics
ADV,401,Portfolio I
ADV,421,Portfolio II
ADV,425,Integrated Advertising Campaigns
ADV,431,Portfolio III
ADV,499,Honors Capstone Project
ADV,500,Selected Topics
ADV,507,Strategic Media Planning
ADV,509,Advertising Research and Planning: A Case Study Approach
ADV,523,Digital Branding and Strategy
ADV,526,Fashion Advertising and Promotion
AED,211,The Creative Classroom: Reexamining School Art Misconceptions Through Studio Inquiry
AED,300,Selected Topics
AED,317,Philosophy & Foundations of Art Education Practice
AED,470,Experience Credit
AED,499,Honors Capstone Project
AED,510,Special Problems in Art Ed
AED,524,Visual Language
AED,534,Creative Processes and Curriculum Structures
AED,584,"Cultural Knowledge, Identity, and Postmodern Art Education"
AEE,270,Experience Credit
AEE,290,Independent Study
AEE,342,Aerodynamics
AEE,343,Compressible Flow
AEE,427,Aircraft Performance and Dynamics
AEE,446,Air-breathing and Rocket Propulsion
AEE,470,Experience Credit
AEE,471,Design/Analysis of Aerospace Structure
AEE,472,Synth of Aerosp Systems
AEE,490,Independent Study
AEE,491,Hypersonics Research Project I
AEE,492,HypHypersonics Research Project II
AEE,499,Honors Capstone Project
AEE,527,Helicopter Dynamics
AEE,542,Hypersonic/High Temperature Gas Dynamics
AEE,577,Introduction to Space Flight
AIC,101,Arts in Context I
AIC,102,Arts in Context II
AIC,200,Selected Topics
AIC,201,Special Topics Workshop in Arts in Context
AIC,221,Special Topics in Arts in Context
AIC,290,Independent Study
AIC,294,Document as Art
AIC,300,Selected Topics
AIC,311,Creative Leadership and Social Responsibility in the Arts
AIC,312,Methods in Creative Leadership: Talent/Agency
AIC,316,Introduction to Visual Culture
AIC,318,Collaborative Arts & Design Practices
AIC,321,"Art, Activism, Modernity"
AIC,331,Outside the Classroom
AIC,340,Visiting Artist Lecture Series
AIC,392,Cosplay
AIC,394,Collaborative Art
AIC,395,Research as Art
AIC,400,Selected Topics
AIC,423,Artists Who Write
AIC,441,History of Jewelry and Metalsmithing
AIC,470,Experience Credit
AIC,490,Independent Study
AIC,495,Archive as Art
AIC,500,Selected Topics
AMC,110,Voice Class for Beginners
AMC,120,Piano Class for Beginners
AMC,160,Guitar Class for Beginners
AMC,500,Selected Topics
AMC,525,Keyboard Skills
AMC,527,Organ Improvisation
AMC,528,Figured Bass Accompaniment
AMC,529,Service Playing
AMC,540,Opera Workshop
AMC,545,Diction in Singing
AMC,546,Diction in Singing
AMC,547,Advanced Diction for Singers
AMC,550,Alexander Technique
AMC,552,Yoga and Contemplative Practices for Performers
ANT,100,Selected Topics
ANT,111,Introduction to Cultural Anthropology
ANT,112,Introduction to African American Studies
ANT,121,Peoples and Cultures of the World
ANT,131,Introduction to Biological Anthropology
ANT,141,Introduction to Archaeology and Prehistory
ANT,145,Archaeology of and in the Modern World
ANT,185,Global Encounters:Comparing World Views & Values Cross-Culturally
ANT,200,Selected Topics
ANT,202,Languages of the World
ANT,221,Morality and Community
ANT,249,Archaeology at the Movies:The Scientific Study of the Past in Popular Culture
ANT,270,Experience Credit
ANT,273,Indigenous Religions
ANT,290,Independent Study
ANT,300,Selected Topics
ANT,311,Anthropological Theory
ANT,318,African Cultures
ANT,322,South American Cultures
ANT,323,Peoples and Cultures of North America
ANT,324,Modern South Asian Cultures
ANT,325,Anthropology of American Life in Film
ANT,326,Africa Through the Novel
ANT,327,Anthropology of Race in Latin America and the Caribbean
ANT,332,Intro to Forensic Anthropology
ANT,342,Archaeology of American Life
ANT,343,The Maya: Ancient and Modern
ANT,345,"Cyborgs, Aliens & Other Worlds"
ANT,346,Gender In The Past
ANT,348,"Mummies, Tombs, and Treasure"
ANT,352,"Food, Culture and Identity"
ANT,355,Spanish Society and Pop Culture
ANT,356,Applied Anthropology
ANT,357,"Health, Healing, and Culture"
ANT,358,"Peace, War and Security"
ANT,363,Anthropology of Family Life
ANT,365,Sexual Attraction in Cross-cultural Perspective
